X,Y,I,In
0.575,8.96365,1,2.63157894736842
0.575,8.9788,0,0
0.575,8.99395,2,5.26315789473684
0.575,9.0091,1,2.63157894736842
0.575,9.02425,0,0
0.575,9.0394,1,2.63157894736842
0.575,9.05455,2,5.26315789473684
0.575,9.0697,2,5.26315789473684
0.575,9.08485,1,2.63157894736842
0.575,9.1,0,0
0.59,8.1,1,2.63157894736842
0.59,8.11515,0,0
0.59,8.1303,2,5.26315789473684
0.59,8.14545,0,0
0.59,8.1606,1,2.63157894736842
0.59,8.17575,0,0
0.59,8.1909,0,0
0.59,8.20605,1,2.63157894736842
0.59,8.2212,0,0
0.59,8.23635,0,0
0.59,8.2515,3,7.89473684210526
0.59,8.26665,1,2.63157894736842
0.59,8.2818,1,2.63157894736842
0.59,8.29695,1,2.63157894736842
0.59,8.3121,0,0
0.59,8.32725,1,2.63157894736842
0.59,8.3424,2,5.26315789473684
0.59,8.3576,0,0
0.59,8.37275,1,2.63157894736842
0.59,8.3879,0,0
0.59,8.40305,2,5.26315789473684
0.59,8.4182,1,2.63157894736842
0.59,8.43335,0,0
0.59,8.4485,0,0
0.59,8.46365,2,5.26315789473684
0.59,8.4788,2,5.26315789473684
0.59,8.49395,0,0
0.59,8.5091,3,7.89473684210526
0.59,8.52425,2,5.26315789473684
0.59,8.5394,6,15.7894736842105
0.59,8.55455,6,15.7894736842105
0.59,8.5697,9,23.6842105263158
0.59,8.58485,14,36.8421052631579
0.59,8.6,7,18.4210526315789
0.59,8.61515,4,10.5263157894737
0.59,8.6303,6,15.7894736842105
0.59,8.64545,2,5.26315789473684
0.59,8.6606,3,7.89473684210526
0.59,8.67575,0,0
0.59,8.6909,2,5.26315789473684
0.59,8.70605,2,5.26315789473684
0.59,8.7212,1,2.63157894736842
0.59,8.73635,1,2.63157894736842
0.59,8.7515,0,0
0.59,8.76665,1,2.63157894736842
0.59,8.7818,1,2.63157894736842
0.59,8.79695,0,0
0.59,8.8121,0,0
0.59,8.82725,1,2.63157894736842
0.59,8.8424,1,2.63157894736842
0.59,8.8576,0,0
0.59,8.87275,0,0
0.59,8.8879,0,0
0.59,8.90305,0,0
0.59,8.9182,1,2.63157894736842
0.59,8.93335,3,7.89473684210526
0.59,8.9485,0,0
0.59,8.96365,1,2.63157894736842
0.59,8.9788,1,2.63157894736842
0.59,8.99395,2,5.26315789473684
0.59,9.0091,1,2.63157894736842
0.59,9.02425,0,0
0.59,9.0394,1,2.63157894736842
0.59,9.05455,1,2.63157894736842
0.59,9.0697,0,0
0.59,9.08485,1,2.63157894736842
0.59,9.1,1,2.63157894736842
0.605,8.1,1,2.63157894736842
0.605,8.11515,1,2.63157894736842
0.605,8.1303,0,0
0.605,8.14545,1,2.63157894736842
0.605,8.1606,1,2.63157894736842
0.605,8.17575,1,2.63157894736842
0.605,8.1909,1,2.63157894736842
0.605,8.20605,0,0
0.605,8.2212,0,0
0.605,8.23635,0,0
0.605,8.2515,2,5.26315789473684
0.605,8.26665,0,0
0.605,8.2818,1,2.63157894736842
0.605,8.29695,0,0
0.605,8.3121,0,0
0.605,8.32725,0,0
0.605,8.3424,1,2.63157894736842
0.605,8.3576,0,0
0.605,8.37275,5,13.1578947368421
0.605,8.3879,0,0
0.605,8.40305,0,0
0.605,8.4182,0,0
0.605,8.43335,1,2.63157894736842
0.605,8.4485,2,5.26315789473684
0.605,8.46365,4,10.5263157894737
0.605,8.4788,0,0
0.605,8.49395,4,10.5263157894737
0.605,8.5091,8,21.0526315789474
0.605,8.52425,11,28.9473684210526
0.605,8.5394,19,50
0.605,8.55455,14,36.8421052631579
0.605,8.5697,14,36.8421052631579
0.605,8.58485,14,36.8421052631579
0.605,8.6,9,23.6842105263158
0.605,8.61515,8,21.0526315789474
0.605,8.6303,3,7.89473684210526
0.605,8.64545,5,13.1578947368421
0.605,8.6606,0,0
0.605,8.67575,6,15.7894736842105
0.605,8.6909,2,5.26315789473684
0.605,8.70605,2,5.26315789473684
0.605,8.7212,1,2.63157894736842
0.605,8.73635,2,5.26315789473684
0.605,8.7515,1,2.63157894736842
0.605,8.76665,1,2.63157894736842
0.605,8.7818,2,5.26315789473684
0.605,8.79695,0,0
0.605,8.8121,0,0
0.605,8.82725,1,2.63157894736842
0.605,8.8424,0,0
0.605,8.8576,0,0
0.605,8.87275,1,2.63157894736842
0.605,8.8879,0,0
0.605,8.90305,2,5.26315789473684
0.605,8.9182,3,7.89473684210526
0.605,8.93335,0,0
0.605,8.9485,3,7.89473684210526
0.605,8.96365,1,2.63157894736842
0.605,8.9788,2,5.26315789473684
0.605,8.99395,1,2.63157894736842
0.605,9.0091,1,2.63157894736842
0.605,9.02425,0,0
0.605,9.0394,1,2.63157894736842
0.605,9.05455,2,5.26315789473684
0.605,9.0697,1,2.63157894736842
0.605,9.08485,0,0
0.605,9.1,1,2.63157894736842
0.62,8.1,2,5.26315789473684
0.62,8.11515,0,0
0.62,8.1303,0,0
0.62,8.14545,1,2.63157894736842
0.62,8.1606,0,0
0.62,8.17575,0,0
0.62,8.1909,0,0
0.62,8.20605,1,2.63157894736842
0.62,8.2212,0,0
0.62,8.23635,0,0
0.62,8.2515,1,2.63157894736842
0.62,8.26665,0,0
0.62,8.2818,2,5.26315789473684
0.62,8.29695,0,0
0.62,8.3121,1,2.63157894736842
0.62,8.32725,1,2.63157894736842
0.62,8.3424,1,2.63157894736842
0.62,8.3576,1,2.63157894736842
0.62,8.37275,2,5.26315789473684
0.62,8.3879,0,0
0.62,8.40305,4,10.5263157894737
0.62,8.4182,1,2.63157894736842
0.62,8.43335,1,2.63157894736842
0.62,8.4485,2,5.26315789473684
0.62,8.46365,3,7.89473684210526
0.62,8.4788,5,13.1578947368421
0.62,8.49395,8,21.0526315789474
0.62,8.5091,12,31.5789473684211
0.62,8.52425,21,55.2631578947368
0.62,8.5394,14,36.8421052631579
0.62,8.55455,21,55.2631578947368
0.62,8.5697,25,65.7894736842105
0.62,8.58485,10,26.3157894736842
0.62,8.6,8,21.0526315789474
0.62,8.61515,4,10.5263157894737
0.62,8.6303,8,21.0526315789474
0.62,8.64545,4,10.5263157894737
0.62,8.6606,1,2.63157894736842
0.62,8.67575,2,5.26315789473684
0.62,8.6909,2,5.26315789473684
0.62,8.70605,1,2.63157894736842
0.62,8.7212,2,5.26315789473684
0.62,8.73635,1,2.63157894736842
0.62,8.7515,2,5.26315789473684
0.62,8.76665,0,0
0.62,8.7818,0,0
0.62,8.79695,2,5.26315789473684
0.62,8.8121,0,0
0.62,8.82725,1,2.63157894736842
0.62,8.8424,0,0
0.62,8.8576,2,5.26315789473684
0.62,8.87275,0,0
0.62,8.8879,1,2.63157894736842
0.62,8.90305,1,2.63157894736842
0.62,8.9182,1,2.63157894736842
0.62,8.93335,0,0
0.62,8.9485,0,0
0.62,8.96365,1,2.63157894736842
0.62,8.9788,0,0
0.62,8.99395,0,0
0.62,9.0091,1,2.63157894736842
0.62,9.02425,0,0
0.62,9.0394,1,2.63157894736842
0.62,9.05455,1,2.63157894736842
0.62,9.0697,0,0
0.62,9.08485,0,0
0.62,9.1,1,2.63157894736842
0.635,8.1,0,0
0.635,8.11515,0,0
0.635,8.1303,0,0
0.635,8.14545,2,5.26315789473684
0.635,8.1606,0,0
0.635,8.17575,1,2.63157894736842
