xposition,yposition,Fe_rel_conc
0.575,9.0394,7.06521739130435
0.575,9.05455,4.34782608695652
0.575,9.0697,5.43478260869565
0.575,9.08485,4.34782608695652
0.575,9.1,7.06521739130435
0.59,8.1,4.89130434782609
0.59,8.11515,2.71739130434783
0.59,8.1303,3.26086956521739
0.59,8.14545,2.71739130434783
0.59,8.1606,2.71739130434783
0.59,8.17575,2.17391304347826
0.59,8.1909,1.6304347826087
0.59,8.20605,2.17391304347826
0.59,8.2212,2.17391304347826
0.59,8.23635,2.71739130434783
0.59,8.2515,3.80434782608696
0.59,8.26665,5.97826086956522
0.59,8.2818,3.26086956521739
0.59,8.29695,4.89130434782609
0.59,8.3121,1.08695652173913
0.59,8.32725,4.34782608695652
0.59,8.3424,3.26086956521739
0.59,8.3576,2.17391304347826
0.59,8.37275,3.80434782608696
0.59,8.3879,3.26086956521739
0.59,8.40305,4.89130434782609
0.59,8.4182,2.17391304347826
0.59,8.43335,4.34782608695652
0.59,8.4485,3.80434782608696
0.59,8.46365,10.8695652173913
0.59,8.4788,5.97826086956522
0.59,8.49395,3.80434782608696
0.59,8.5091,10.3260869565217
0.59,8.52425,9.23913043478261
0.59,8.5394,21.195652173913
0.59,8.55455,27.7173913043478
0.59,8.5697,35.3260869565217
0.59,8.58485,42.9347826086956
0.59,8.6,39.1304347826087
0.59,8.61515,44.5652173913044
0.59,8.6303,44.5652173913044
0.59,8.64545,46.195652173913
0.59,8.6606,40.2173913043478
0.59,8.67575,33.1521739130435
0.59,8.6909,35.3260869565217
0.59,8.70605,35.3260869565217
0.59,8.7212,29.8913043478261
0.59,8.73635,23.9130434782609
0.59,8.7515,17.3913043478261
0.59,8.76665,11.9565217391304
0.59,8.7818,9.23913043478261
0.59,8.79695,12.5
0.59,8.8121,9.23913043478261
0.59,8.82725,5.97826086956522
0.59,8.8424,8.15217391304348
0.59,8.8576,8.15217391304348
0.59,8.87275,8.15217391304348
0.59,8.8879,11.4130434782609
0.59,8.90305,16.304347826087
0.59,8.9182,14.6739130434783
0.59,8.93335,21.195652173913
0.59,8.9485,13.0434782608696
0.59,8.96365,13.0434782608696
0.59,8.9788,10.3260869565217
0.59,8.99395,9.23913043478261
0.59,9.0091,7.60869565217391
0.59,9.02425,2.71739130434783
0.59,9.0394,9.23913043478261
0.59,9.05455,7.06521739130435
0.59,9.0697,4.34782608695652
0.59,9.08485,5.43478260869565
0.59,9.1,5.43478260869565
0.605,8.1,4.34782608695652
0.605,8.11515,3.26086956521739
0.605,8.1303,3.26086956521739
