X,Y,I,In
0.575,8.9788,14,0.0760869565217391
0.575,8.99395,22,0.119565217391304
0.575,9.0091,15,0.0815217391304348
0.575,9.02425,7,0.0380434782608696
0.575,9.0394,13,0.0706521739130435
0.575,9.05455,8,0.0434782608695652
0.575,9.0697,10,0.0543478260869565
0.575,9.08485,8,0.0434782608695652
0.575,9.1,13,0.0706521739130435
0.59,8.1,9,0.0489130434782609
0.59,8.11515,5,0.0271739130434783
0.59,8.1303,6,0.0326086956521739
0.59,8.14545,5,0.0271739130434783
0.59,8.1606,5,0.0271739130434783
0.59,8.17575,4,0.0217391304347826
0.59,8.1909,3,0.016304347826087
0.59,8.20605,4,0.0217391304347826
0.59,8.2212,4,0.0217391304347826
0.59,8.23635,5,0.0271739130434783
0.59,8.2515,7,0.0380434782608696
0.59,8.26665,11,0.0597826086956522
0.59,8.2818,6,0.0326086956521739
0.59,8.29695,9,0.0489130434782609
0.59,8.3121,2,0.0108695652173913
0.59,8.32725,8,0.0434782608695652
0.59,8.3424,6,0.0326086956521739
0.59,8.3576,4,0.0217391304347826
0.59,8.37275,7,0.0380434782608696
0.59,8.3879,6,0.0326086956521739
0.59,8.40305,9,0.0489130434782609
0.59,8.4182,4,0.0217391304347826
0.59,8.43335,8,0.0434782608695652
0.59,8.4485,7,0.0380434782608696
0.59,8.46365,20,0.108695652173913
0.59,8.4788,11,0.0597826086956522
0.59,8.49395,7,0.0380434782608696
0.59,8.5091,19,0.103260869565217
0.59,8.52425,17,0.0923913043478261
0.59,8.5394,39,0.21195652173913
0.59,8.55455,51,0.277173913043478
0.59,8.5697,65,0.353260869565217
0.59,8.58485,79,0.429347826086957
0.59,8.6,72,0.391304347826087
0.59,8.61515,82,0.445652173913043
0.59,8.6303,82,0.445652173913043
0.59,8.64545,85,0.46195652173913
0.59,8.6606,74,0.402173913043478
0.59,8.67575,61,0.331521739130435
0.59,8.6909,65,0.353260869565217
0.59,8.70605,65,0.353260869565217
0.59,8.7212,55,0.298913043478261
0.59,8.73635,44,0.239130434782609
0.59,8.7515,32,0.173913043478261
0.59,8.76665,22,0.119565217391304
0.59,8.7818,17,0.0923913043478261
0.59,8.79695,23,0.125
0.59,8.8121,17,0.0923913043478261
0.59,8.82725,11,0.0597826086956522
0.59,8.8424,15,0.0815217391304348
0.59,8.8576,15,0.0815217391304348
0.59,8.87275,15,0.0815217391304348
0.59,8.8879,21,0.114130434782609
0.59,8.90305,30,0.16304347826087
0.59,8.9182,27,0.146739130434783
0.59,8.93335,39,0.21195652173913
0.59,8.9485,24,0.130434782608696
0.59,8.96365,24,0.130434782608696
0.59,8.9788,19,0.103260869565217
0.59,8.99395,17,0.0923913043478261
0.59,9.0091,14,0.0760869565217391
0.59,9.02425,5,0.0271739130434783
0.59,9.0394,17,0.0923913043478261
0.59,9.05455,13,0.0706521739130435
0.59,9.0697,8,0.0434782608695652
0.59,9.08485,10,0.0543478260869565
0.59,9.1,10,0.0543478260869565
0.605,8.1,8,0.0434782608695652
0.605,8.11515,6,0.0326086956521739
0.605,8.1303,6,0.0326086956521739
0.605,8.14545,4,0.0217391304347826
0.605,8.1606,7,0.0380434782608696
0.605,8.17575,12,0.0652173913043478
0.605,8.1909,4,0.0217391304347826
0.605,8.20605,4,0.0217391304347826
0.605,8.2212,4,0.0217391304347826
0.605,8.23635,6,0.0326086956521739
0.605,8.2515,7,0.0380434782608696
0.605,8.26665,4,0.0217391304347826
0.605,8.2818,4,0.0217391304347826
