Velocity,NormIntensity
mm/s,a.u.
-3.5041,0.84886
-3.492,0.8609
-3.4799,0.87214
-3.4678,0.8826
-3.4556,0.8923
-3.4435,0.90126
-3.4314,0.90952
-3.4192,0.91711
-3.4071,0.92406
-3.395,0.93041
-3.3829,0.9362
-3.3708,0.94147
-3.3586,0.94625
-3.3465,0.95059
-3.3344,0.95451
-3.3222,0.95806
-3.3101,0.96126
-3.298,0.96415
-3.2859,0.96676
-3.2738,0.96912
-3.2616,0.97124
-3.2495,0.97316
-3.2374,0.97489
-3.2252,0.97645
-3.2131,0.97787
-3.201,0.97916
-3.1889,0.98032
-3.1768,0.98139
-3.1646,0.98235
-3.1525,0.98324
-3.1404,0.98405
-3.1282,0.98479
-3.1161,0.98548
-3.104,0.98611
-3.0919,0.98669
-3.0798,0.98724
-3.0676,0.98774
-3.0555,0.98821
-3.0434,0.98865
-3.0312,0.98906
-3.0191,0.98944
-3.007,0.9898
-2.9949,0.99014
-2.9827,0.99046
-2.9706,0.99077
-2.9585,0.99105
-2.9464,0.99132
-2.9343,0.99158
-2.9221,0.99182
-2.91,0.99205
-2.8979,0.99227
-2.8857,0.99248
-2.8736,0.99268
-2.8615,0.99287
-2.8494,0.99305
-2.8373,0.99322
-2.8251,0.99338
-2.813,0.99354
-2.8009,0.99369
-2.7887,0.99383
-2.7766,0.99397
-2.7645,0.9941
-2.7524,0.99422
-2.7403,0.99434
-2.7281,0.99445
-2.716,0.99456
-2.7039,0.99466
-2.6917,0.99476
-2.6796,0.99486
-2.6675,0.99495
-2.6554,0.99503
-2.6433,0.99511
-2.6311,0.99519
-2.619,0.99526
-2.6069,0.99533
-2.5947,0.9954
-2.5826,0.99546
-2.5705,0.99552
-2.5584,0.99557
-2.5463,0.99562
-2.5341,0.99567
-2.522,0.99572
-2.5099,0.99576
-2.4977,0.9958
-2.4856,0.99584
-2.4735,0.99587
-2.4614,0.9959
-2.4493,0.99593
-2.4371,0.99596
-2.425,0.99598
-2.4129,0.996
-2.4007,0.99601
-2.3886,0.99603
-2.3765,0.99604
-2.3644,0.99605
-2.3523,0.99605
-2.3401,0.99606
-2.328,0.99606
-2.3159,0.99605
-2.3037,0.99605
-2.2916,0.99604
-2.2795,0.99603
-2.2674,0.99601
-2.2553,0.99599
-2.2431,0.99597
-2.231,0.99595
-2.2189,0.99592
-2.2067,0.99589
-2.1946,0.99586
-2.1825,0.99582
-2.1704,0.99578
-2.1582,0.99574
-2.1461,0.99569
-2.134,0.99564
-2.1219,0.99558
-2.1098,0.99552
-2.0976,0.99546
-2.0855,0.99539
-2.0734,0.99532
-2.0612,0.99524
-2.0491,0.99516
-2.037,0.99507
-2.0249,0.99498
-2.0128,0.99488
-2.0006,0.99477
-1.9885,0.99466
-1.9764,0.99455
-1.9643,0.99442
-1.9521,0.99429
-1.94,0.99416
-1.9279,0.99401
-1.9158,0.99386
-1.9036,0.99369
-1.8915,0.99352
-1.8794,0.99334
-1.8673,0.99314
-1.8551,0.99294
-1.843,0.99272
-1.8309,0.99249
-1.8188,0.99224
-1.8066,0.99198
-1.7945,0.9917
-1.7824,0.9914
-1.7703,0.99109
-1.7581,0.99075
-1.746,0.9904
-1.7339,0.99001
-1.7217,0.9896
-1.7096,0.98916
-1.6975,0.98869
-1.6854,0.98818
-1.6732,0.98764
-1.6611,0.98705
-1.649,0.98641
-1.6369,0.98572
-1.6247,0.98497
-1.6126,0.98415
-1.6005,0.98326
-1.5884,0.98228
-1.5762,0.98121
-1.5641,0.98002
-1.552,0.97871
-1.5399,0.97725
-1.5277,0.97561
-1.5156,0.97378
-1.5035,0.97171
-1.4914,0.96935
-1.4792,0.96666
-1.4671,0.96354
-1.455,0.95992
-1.4429,0.95568
-1.4307,0.95067
-1.4186,0.9447
-1.4065,0.93755
-1.3944,0.92896
-1.3822,0.91862
-1.3701,0.90624
-1.358,0.89151
-1.3459,0.87424
-1.3337,0.85433
-1.3216,0.83191
-1.3095,0.80734
-1.2974,0.78128
