Velocity,NormIntensity,NormIntensityFit
mm s^{-1},a.u.,a.u.
3.0933,0.91395,0.93145
3.1129,0.92813,0.93173
3.1325,0.90086,0.93201
3.1521,0.93755,0.93228
3.1716,0.89524,0.93254
3.1912,0.88376,0.93279
3.2108,0.95442,0.93306
3.2303,0.93264,0.93329
3.2499,0.90753,0.93354
3.2695,0.92813,0.93377
3.289,0.94669,0.934
3.3086,0.92332,0.93422
3.3282,0.93271,0.93445
3.3478,0.96349,0.93468
3.3673,0.93342,0.93488
3.3869,0.95215,0.93508
3.4065,0.9201,0.93528
3.426,0.91534,0.93548
3.4456,0.97608,0.93568
3.4652,0.95064,0.93589
3.4847,0.97809,0.93606
3.5043,0.94095,0.93624
3.5239,0.89753,0.93641
3.5434,0.9205,0.93659
3.563,0.93971,0.93677
3.5826,0.9796,0.93694
3.6021,0.97457,0.93712
3.6217,0.88663,0.93727
3.6413,0.92667,0.93742
3.6609,0.93427,0.93757
3.6804,0.94727,0.93775
3.7,0.90977,0.9379
3.7196,0.93727,0.93803
3.7391,0.93669,0.93818
3.7587,0.93934,0.93833
3.7783,0.92541,0.93845
3.7978,0.9514,0.9386
3.8174,0.92015,0.93873
3.837,0.91524,0.93886
3.8565,0.92392,0.93901
3.8761,0.93465,0.93913
3.8957,0.90267,0.93926
3.9153,0.90677,0.93936
3.9348,0.94787,0.93949
3.9544,0.92312,0.93961
3.974,0.94198,0.93974
3.9935,0.94805,0.93984
4.0131,0.88748,0.93996
4.0327,0.94591,0.94007
4.0522,0.91078,0.94017
4.0718,0.95291,0.94029
4.0914,0.97507,0.94039
4.111,0.94941,0.94049
4.1305,0.92878,0.94059
4.1501,0.92148,0.9407
4.1697,0.91335,0.9408
4.1892,0.92931,0.9409
4.2088,0.92516,0.94097
4.2284,0.91244,0.94107
4.2479,0.93898,0.94117
4.2675,0.95014,0.94127
4.2871,0.95442,0.94135
4.3067,0.92765,0.94145
4.3262,0.93286,0.94153
4.3458,0.91153,0.9416
4.3654,0.92652,0.9417
4.3849,0.93022,0.94178
4.4045,0.96298,0.94185
4.4241,0.90818,0.94193
4.4436,0.90949,0.94203
4.4632,0.9442,0.94211
4.4828,0.93367,0.94218
4.5023,0.92654,0.94226
4.5219,0.92929,0.94233
4.5415,0.94409,0.94241
4.561,0.90743,0.94246
4.5806,0.94835,0.94253
4.6002,0.96651,0.94261
4.6198,0.93704,0.94268
4.6393,0.92425,0.94276
4.6589,0.94503,0.94281
4.6785,0.9242,0.94289
4.698,0.9718,0.94294
4.7176,0.93435,0.94301
4.7372,0.91695,0.94309
4.7568,0.92372,0.94314
4.7763,0.94382,0.94319
4.7959,0.97028,0.94326
4.8155,0.92324,0.94331
4.835,0.95392,0.94339
4.8546,0.93158,0.94344
4.8742,0.94805,0.94349
4.8937,0.95014,0.94357
4.9133,0.92287,0.94362
4.9329,0.9203,0.94367
4.9524,0.9453,0.94372
4.972,0.8895,0.94377
4.9916,0.91035,0.94382
5.0111,0.95492,0.94387
5.0307,0.93344,0.94394
5.0503,0.93722,0.94399
5.0699,0.94057,0.94404
5.0894,0.94447,0.94409
5.109,0.9487,0.94415
