e         norm        nbkg        flat        fbkg        nder        nsec
  7114.2951       0.67129022E-01   0.67129016E-01   0.67129016E-01   0.67129016E-01  -0.19532113E-01   0.34048748E-02
  7114.3982       0.65106072E-01   0.65106066E-01   0.65106066E-01   0.65106066E-01  -0.18882782E-01   0.99430244E-02
  7114.4964       0.63328333E-01   0.63328328E-01   0.63328328E-01   0.63328328E-01  -0.17530801E-01   0.15360296E-01
  7114.5979       0.61606083E-01   0.61606077E-01   0.61606077E-01   0.61606077E-01  -0.15816129E-01   0.24720144E-01
  7114.7010       0.60092939E-01   0.60092933E-01   0.60092933E-01   0.60092933E-01  -0.12473974E-01   0.35301894E-01
  7114.8008       0.59074702E-01   0.59074697E-01   0.59074697E-01   0.59074697E-01  -0.86522101E-02   0.22598862E-01
  7114.8990       0.58379550E-01   0.58379545E-01   0.58379545E-01   0.58379545E-01  -0.79987439E-02   0.14782519E-01
  7114.9972       0.57503764E-01   0.57503759E-01   0.57503759E-01   0.57503759E-01  -0.57489530E-02   0.34163603E-01
  7115.0987       0.57231616E-01   0.57231612E-01   0.57231611E-01   0.57231612E-01  -0.11770581E-02   0.25190789E-01
  7115.1985       0.57266800E-01   0.57266795E-01   0.57266795E-01   0.57266795E-01  -0.67756858E-03   0.10544819E-01
  7115.2984       0.57096313E-01   0.57096309E-01   0.57096308E-01   0.57096309E-01   0.92862635E-03   0.23364104E-01
  7115.4031       0.57456802E-01   0.57456797E-01   0.57456797E-01   0.57456797E-01   0.41028440E-02   0.21098419E-01
  7115.5030       0.57935800E-01   0.57935795E-01   0.57935795E-01   0.57935795E-01   0.52455950E-02   0.13859398E-01
  7115.5979       0.58478623E-01   0.58478618E-01   0.58478618E-01   0.58478618E-01   0.68025993E-02   0.14312477E-01
  7115.6978       0.59260960E-01   0.59260955E-01   0.59260955E-01   0.59260955E-01   0.80336941E-02   0.11737279E-01
  7115.8009       0.60109398E-01   0.60109393E-01   0.60109393E-01   0.60109393E-01   0.91851731E-02   0.16051099E-01
  7115.9040       0.61155604E-01   0.61155599E-01   0.61155599E-01   0.61155599E-01   0.11344586E-01   0.15660718E-01
  7115.9990       0.62356681E-01   0.62356676E-01   0.62356676E-01   0.62356676E-01   0.12287452E-01   0.77340913E-02
  7116.0907       0.63448910E-01   0.63448904E-01   0.63448904E-01   0.63448904E-01   0.12788062E-01   0.12886034E-01
  7116.1906       0.64806299E-01   0.64806293E-01   0.64806293E-01   0.64806293E-01   0.14755836E-01   0.14839162E-01
  7116.2937       0.66444654E-01   0.66444649E-01   0.66444649E-01   0.66444649E-01   0.15800723E-01   0.96013837E-02
  7116.3969       0.68066019E-01   0.68066014E-01   0.68066014E-01   0.68066014E-01   0.16736620E-01   0.14015376E-01
  7116.4935       0.69787945E-01   0.69787939E-01   0.69787939E-01   0.69787939E-01   0.18600421E-01   0.17476604E-01
  7116.5933       0.71720816E-01   0.71720810E-01   0.71720810E-01   0.71720810E-01   0.20170598E-01   0.11640661E-01
  7116.7031       0.74015601E-01   0.74015595E-01   0.74015595E-01   0.74015595E-01   0.21040245E-01   0.66744485E-02
  7116.8046       0.76165336E-01   0.76165330E-01   0.76165330E-01   0.76165330E-01   0.21580502E-01   0.15812448E-01
  7116.9061       0.78397695E-01   0.78397688E-01   0.78397688E-01   0.78397688E-01   0.24251089E-01   0.26768912E-01
  7117.0076       0.81089860E-01   0.81089853E-01   0.81089853E-01   0.81089853E-01   0.27016305E-01   0.19105852E-01
  7117.1043       0.83751165E-01   0.83751158E-01   0.83751158E-01   0.83751158E-01   0.28037048E-01   0.17377720E-01
  7117.1993       0.86462066E-01   0.86462059E-01   0.86462059E-01   0.86462059E-01   0.30346067E-01   0.18974560E-01
  7117.2926       0.89466604E-01   0.89466596E-01   0.89466596E-01   0.89466596E-01   0.31610754E-01   0.71489056E-02
  7117.3974       0.92726496E-01   0.92726488E-01   0.92726488E-01   0.92726488E-01   0.31762794E-01   0.11027442E-01
  7117.5039       0.96177511E-01   0.96177502E-01   0.96177502E-01   0.96177502E-01   0.33940654E-01   0.26766861E-01
  7117.6005       0.99619809E-01   0.99619800E-01   0.99619800E-01   0.99619800E-01   0.37199117E-01   0.30152719E-01
  7117.6972       0.10336724       0.10336724       0.10336724       0.10336724       0.39768481E-01   0.26228608E-01
  7117.7954       0.10737152       0.10737151       0.10737151       0.10737151       0.42311623E-01   0.24697919E-01
  7117.8970       0.11182284       0.11182283       0.11182283       0.11182283       0.44704138E-01   0.22353933E-01
  7118.0002       0.11652519       0.11652518       0.11652518       0.11652518       0.46888837E-01   0.30389723E-01
  7118.1018       0.12142413       0.12142412       0.12142412       0.12142412       0.50926951E-01   0.30045411E-01
  7118.2001       0.12670339       0.12670338       0.12670338       0.12670338       0.52893683E-01   0.18492050E-01
  7118.2967       0.13173575       0.13173574       0.13173574       0.13173574       0.54531976E-01   0.20363636E-01
  7118.3999       0.13760270       0.13760269       0.13760269       0.13760269       0.56963763E-01   0.31921856E-01
  7118.4999       0.14330805       0.14330804       0.14330804       0.14330804       0.61016965E-01   0.34618513E-01
  7118.5949       0.14949893       0.14949892       0.14949892       0.14949892       0.63713196E-01   0.99254819E-02
  7118.6916       0.15552162       0.15552161       0.15552161       0.15552161       0.62919640E-01   0.11567463E-01
  7118.7948       0.16207619       0.16207618       0.16207618       0.16207618       0.66025462E-01   0.37176893E-01
  7118.8964       0.16904456       0.16904454       0.16904454       0.16904454       0.70533988E-01   0.27158912E-01
  7118.9931       0.17606068       0.17606067       0.17606067       0.17606067       0.71410151E-01   0.15953065E-01
  7119.0963       0.18332023       0.18332022       0.18332022       0.18332022       0.73723181E-01   0.22689893E-01
  7119.1995       0.19128238       0.19128237       0.19128237       0.19128237       0.76094956E-01   0.23615584E-01
  7119.3011       0.19890745       0.19890743       0.19890743       0.19890743       0.78560574E-01   0.22116747E-01
  7119.4011       0.20711768       0.20711766       0.20711766       0.20711766       0.80552985E-01   0.33019921E-01
  7119.4994       0.21488078       0.21488076       0.21488076       0.21488076       0.85108292E-01   0.30570381E-01
  7119.5961       0.22371584       0.22371582       0.22371582       0.22371582       0.86514943E-01  -0.13967167E-01
  7119.6945       0.23175370       0.23175368       0.23175368       0.23175368       0.82384289E-01  -0.14622305E-01
  7119.7994       0.24045880       0.24045878       0.24045878       0.24045878       0.83543252E-01   0.21699667E-01
  7119.9043       0.24928041       0.24928039       0.24928039       0.24928039       0.86936706E-01   0.28235385E-01
  7120.0010       0.25798541       0.25798539       0.25798539       0.25798539       0.89235562E-01   0.23075461E-01
  7120.0977       0.26653973       0.26653971       0.26653971       0.26653971       0.91399800E-01   0.10524011E-01
  7120.2009       0.27626318       0.27626316       0.27626316       0.27626316       0.91340111E-01   0.55613654E-02
  7120.2993       0.28495581       0.28495579       0.28495579       0.28495579       0.92521088E-01   0.22512926E-01
  7120.3976       0.29446291       0.29446289       0.29446288       0.29446289       0.95768607E-01   0.29367373E-01
  7120.5009       0.30426583       0.30426580       0.30426580       0.30426580       0.98442490E-01   0.23922979E-01
  7120.5976       0.31415121       0.31415118       0.31415118       0.31415118       0.10055315       0.93009736E-03
  7120.6944       0.32371753       0.32371751       0.32371751       0.32371751       0.98622415E-01   0.20978927E-01
  7120.7960       0.33371504       0.33371501       0.33371501       0.33371501       0.10471477       0.52725363E-01
  7120.8960       0.34483390       0.34483387       0.34483387       0.34483387       0.10925480       0.12590569E-01
  7120.9993       0.35592676       0.35592673       0.35592673       0.35592673       0.10727445      -0.35769646E-02
  7121.1010       0.36681947       0.36681944       0.36681944       0.36681944       0.10852171       0.34026289E-01
  7121.1994       0.37763479       0.37763476       0.37763476       0.37763476       0.11408087       0.53777256E-01
  7121.2961       0.38907905       0.38907901       0.38907901       0.38907901       0.11901478       0.66125454E-02
  7121.3928       0.40066248       0.40066245       0.40066245       0.40066245       0.11536030      -0.17451232E-01
  7121.4945       0.41196780       0.41196776       0.41196776       0.41196776       0.11555227       0.22083146E-01
  7121.5978       0.42434804       0.42434801       0.42434801       0.42434801       0.11988684       0.36134758E-01
