e         norm        nbkg        flat        fbkg        nder        nsec
  7109.5056       0.22913121E-01   0.22913119E-01   0.22913119E-01   0.22913119E-01   0.66288628E-02   0.90420617E-02
  7109.5988       0.23573562E-01   0.23573560E-01   0.23573560E-01   0.23573560E-01   0.78877250E-02   0.67106631E-02
  7109.6968       0.24421183E-01   0.24421181E-01   0.24421181E-01   0.24421181E-01   0.79118812E-02   0.39821893E-02
  7109.7998       0.25163866E-01   0.25163864E-01   0.25163864E-01   0.25163864E-01   0.86881530E-02   0.92748247E-02
  7109.9027       0.26210161E-01   0.26210159E-01   0.26210158E-01   0.26210159E-01   0.98216604E-02   0.55394215E-02
  7110.0024       0.27154196E-01   0.27154194E-01   0.27154194E-01   0.27154194E-01   0.98107002E-02   0.96082394E-02
  7110.1005       0.28150237E-01   0.28150234E-01   0.28150234E-01   0.28150234E-01   0.11721699E-01   0.19571398E-01
  7110.2035       0.29510563E-01   0.29510560E-01   0.29510560E-01   0.29510560E-01   0.13745060E-01   0.14504133E-01
  7110.3015       0.30913420E-01   0.30913417E-01   0.30913417E-01   0.30913417E-01   0.14637480E-01   0.55323102E-02
  7110.3963       0.32333605E-01   0.32333602E-01   0.32333602E-01   0.32333602E-01   0.14812044E-01   0.75378412E-03
  7110.4977       0.33818639E-01   0.33818636E-01   0.33818636E-01   0.33818636E-01   0.14785326E-01   0.18926567E-02
  7110.6006       0.35354514E-01   0.35354510E-01   0.35354510E-01   0.35354510E-01   0.15198747E-01   0.53339577E-02
  7110.7020       0.36924108E-01   0.36924105E-01   0.36924105E-01   0.36924105E-01   0.15875182E-01   0.16140090E-01
  7110.7984       0.38494482E-01   0.38494478E-01   0.38494478E-01   0.38494478E-01   0.18391112E-01   0.12302780E-01
  7110.8981       0.40531746E-01   0.40531742E-01   0.40531742E-01   0.40531742E-01   0.18288520E-01  -0.11584268E-01
  7110.9979       0.42141889E-01   0.42141885E-01   0.42141885E-01   0.42141885E-01   0.16080780E-01  -0.15501728E-01
  7111.0976       0.43738945E-01   0.43738940E-01   0.43738940E-01   0.43738940E-01   0.15196809E-01  -0.11543236E-02
  7111.2022       0.45247418E-01   0.45247413E-01   0.45247413E-01   0.45247413E-01   0.15844890E-01   0.12052277E-01
  7111.3020       0.46977006E-01   0.46977002E-01   0.46977002E-01   0.46977002E-01   0.17659812E-01   0.98834822E-02
  7111.4033       0.48798735E-01   0.48798731E-01   0.48798731E-01   0.48798731E-01   0.17832418E-01   0.66967706E-02
  7111.5031       0.50563141E-01   0.50563136E-01   0.50563136E-01   0.50563136E-01   0.19006546E-01   0.25170408E-01
  7111.6012       0.52558952E-01   0.52558947E-01   0.52558947E-01   0.52558947E-01   0.22812081E-01   0.33472723E-01
  7111.7009       0.55076352E-01   0.55076347E-01   0.55076347E-01   0.55076347E-01   0.25628890E-01   0.22721754E-01
  7111.8023       0.57713409E-01   0.57713403E-01   0.57713403E-01   0.57713403E-01   0.27381858E-01   0.13813919E-01
  7111.9004       0.60538759E-01   0.60538753E-01   0.60538753E-01   0.60538753E-01   0.28384628E-01   0.11313988E-01
  7111.9985       0.63283183E-01   0.63283177E-01   0.63283176E-01   0.63283177E-01   0.29601945E-01   0.16734152E-01
  7112.0983       0.66396007E-01   0.66396000E-01   0.66396000E-01   0.66396000E-01   0.31695765E-01   0.94341729E-02
  7112.1996       0.69658564E-01   0.69658557E-01   0.69658557E-01   0.69658557E-01   0.31499563E-01  -0.11085980E-01
  7112.3027       0.72835116E-01   0.72835109E-01   0.72835109E-01   0.72835109E-01   0.29429580E-01  -0.32075503E-01
  7112.4008       0.75578471E-01   0.75578464E-01   0.75578464E-01   0.75578464E-01   0.25047415E-01  -0.45415159E-01
  7112.5022       0.77832727E-01   0.77832719E-01   0.77832719E-01   0.77832719E-01   0.20368075E-01  -0.30084205E-01
  7112.6020       0.79675855E-01   0.79675848E-01   0.79675848E-01   0.79675848E-01   0.18995466E-01  -0.22658958E-01
  7112.6985       0.81560872E-01   0.81560864E-01   0.81560864E-01   0.81560864E-01   0.15920914E-01  -0.49439620E-01
  7112.7999       0.82826716E-01   0.82826708E-01   0.82826708E-01   0.82826708E-01   0.92110190E-02  -0.50120450E-01
  7112.9029       0.83444120E-01   0.83444112E-01   0.83444112E-01   0.83444112E-01   0.56734875E-02  -0.17842646E-01
  7113.0011       0.83968165E-01   0.83968157E-01   0.83968157E-01   0.83968157E-01   0.56212570E-02  -0.81474411E-02
  7113.0959       0.84529118E-01   0.84529110E-01   0.84529110E-01   0.84529110E-01   0.41008928E-02  -0.14135478E-01
  7113.2006       0.84786564E-01   0.84786555E-01   0.84786555E-01   0.84786555E-01   0.28002963E-02   0.32356612E-02
  7113.3070       0.85120045E-01   0.85120037E-01   0.85120037E-01   0.85120037E-01   0.47836918E-02   0.12394298E-01
  7113.4051       0.85764762E-01   0.85764753E-01   0.85764753E-01   0.85764753E-01   0.53347567E-02  -0.94467444E-02
  7113.5033       0.86167322E-01   0.86167313E-01   0.86167313E-01   0.86167313E-01   0.29291825E-02  -0.15136706E-01
  7113.6031       0.86344602E-01   0.86344594E-01   0.86344594E-01   0.86344594E-01   0.23384003E-02  -0.54722231E-02
  7113.7012       0.86630229E-01   0.86630221E-01   0.86630221E-01   0.86630221E-01   0.18459066E-02  -0.36282556E-01
  7113.8010       0.86710027E-01   0.86710018E-01   0.86710018E-01   0.86710018E-01  -0.48442758E-02  -0.59205761E-01
  7113.8992       0.85671203E-01   0.85671195E-01   0.85671195E-01   0.85671195E-01  -0.98751171E-02  -0.27445502E-01
  7113.9957       0.84787292E-01   0.84787284E-01   0.84787284E-01   0.84787284E-01  -0.10188052E-01  -0.24546030E-01
  7114.0972       0.83654142E-01   0.83654134E-01   0.83654134E-01   0.83654134E-01  -0.14734814E-01  -0.36243226E-01
  7114.1970       0.81821764E-01   0.81821756E-01   0.81821756E-01   0.81821756E-01  -0.17482364E-01  -0.19069207E-01
  7114.2952       0.80192756E-01   0.80192748E-01   0.80192748E-01   0.80192748E-01  -0.18510383E-01  -0.17160417E-01
  7114.3999       0.78065840E-01   0.78065833E-01   0.78065833E-01   0.78065833E-01  -0.20964367E-01  -0.11131421E-01
  7114.5046       0.75801539E-01   0.75801531E-01   0.75801531E-01   0.75801531E-01  -0.20841982E-01   0.99655742E-02
  7114.6045       0.73802467E-01   0.73802460E-01   0.73802460E-01   0.73802460E-01  -0.18925839E-01   0.34046352E-01
  7114.7027       0.72053901E-01   0.72053894E-01   0.72053894E-01   0.72053894E-01  -0.14100225E-01   0.35739919E-01
  7114.7992       0.71056434E-01   0.71056427E-01   0.71056427E-01   0.71056427E-01  -0.11965454E-01   0.16793839E-01
  7114.8974       0.69723557E-01   0.69723550E-01   0.69723550E-01   0.69723550E-01  -0.10829524E-01   0.27578491E-01
